id,name,height_m,footprint_wkt,source_dataset
eb747e82-2bc6-4864-ad76-8a1149eb2a81,Cable Wharf,,"POLYGON ((-63.5712003 44.6491739, -63.5711422 44.6490895, -63.5707548 44.6492253, -63.570757 44.6492285, -63.5701349 44.6494475, -63.570193 44.6495297, -63.570812 44.6493094, -63.5708136 44.6493117, -63.5712003 44.6491739))",OpenStreetMap
908847b0-0716-4f8f-b469-42ece51b020b,Rise Again,,"POLYGON ((-63.5703911 44.6488707, -63.5710971 44.6487241, -63.571027 44.6485796, -63.5703196 44.6487901, -63.5702803 44.6488018, -63.5703079 44.648859, -63.5703206 44.6488853, -63.5703911 44.6488707))",OpenStreetMap
b1d63489-659e-486e-b44d-4d48390e868e,The Queens Marque,,"POLYGON ((-63.5707883 44.6489473, -63.5708576 44.6490586, -63.5709679 44.6490396, -63.5711991 44.6489966, -63.5714148 44.6489357, -63.5715221 44.6489063, -63.5716032 44.6488808, -63.5716076 44.6488896, -63.5718744 44.648824, -63.5718634 44.6488014, -63.5719301 44.648781, -63.5718195 44.6485992, -63.5717701 44.6486109, -63.5717607 44.6485916, -63.5717517 44.6485732, -63.5718045 44.6485594, -63.5717072 44.6483996, -63.5716717 44.6484099, -63.5716629 44.6483911, -63.5716515 44.6483666, -63.5716853 44.6483581, -63.5715819 44.6482014, -63.5715714 44.6482037, -63.5715603 44.6481812, -63.5715519 44.6481642, -63.5714655 44.6479885, -63.5714562 44.6479696, -63.571194 44.6480365, -63.571203 44.6480554, -63.5711095 44.6480671, -63.5707738 44.6481452, -63.5706631 44.6481737, -63.5706081 44.6481879, -63.5705575 44.6482009, -63.5703885 44.6482445, -63.5702315 44.6482872, -63.570268 44.6483834, -63.5704318 44.648365, -63.5706096 44.6483411, -63.5706647 44.6483337, -63.5707214 44.6483261, -63.5708393 44.6483102, -63.57118 44.6482562, -63.5712859 44.6482304, -63.5712954 44.6482499, -63.5713059 44.6482715, -63.5712713 44.6482805, -63.5713487 44.6484347, -63.5713824 44.6484281, -63.571396 44.6484559, -63.5714087 44.648482, -63.5713754 44.6484913, -63.5714532 44.6486465, -63.5714848 44.6486379, -63.5714951 44.6486589, -63.5715055 44.6486802, -63.5714101 44.6487037, -63.5712997 44.6487415, -63.5710897 44.6488105, -63.5708843 44.648903, -63.5707883 44.6489473))",OpenStreetMap
b3304545-6dd8-4e80-9320-b5af77dcfd6f,,,"POLYGON ((-63.5719373 44.6490691, -63.5718967 44.6490066, -63.5717362 44.6490726, -63.5715745 44.6491357, -63.5716314 44.6492149, -63.5719373 44.6490691))",OpenStreetMap
e49ad1aa-9ff5-40bd-90d9-1d23879ab439,,,"POLYGON ((-63.5722724 44.6491588, -63.5722968 44.6491623, -63.5723662 44.649118, -63.5723709 44.6491041, -63.5723259 44.6490708, -63.572278 44.6490675, -63.5719026 44.6492278, -63.571848 44.6492863, -63.5717933 44.6494922, -63.571897 44.6495061, -63.5719518 44.6493014, -63.5719602 44.6492905, -63.5722724 44.6491588))",OpenStreetMap
052a39ef-0909-44a0-99e7-408f5dc5dfd2,,,"POLYGON ((-63.571151 44.6492383, -63.5712141 44.649216, -63.5712046 44.6492023, -63.5711415 44.6492246, -63.571151 44.6492383))",OpenStreetMap
b1ef9c74-c34a-44b3-ad1b-f99df9d9ed40,Metro Transit Ferry Terminal,,"POLYGON ((-63.5714412 44.6496809, -63.5713629 44.6497128, -63.5714161 44.6497869, -63.5714763 44.6498558, -63.5713719 44.649901, -63.5712535 44.6499523, -63.5713088 44.6500194, -63.5714281 44.6499691, -63.5716306 44.6498836, -63.5716817 44.6498919, -63.5717732 44.6499068, -63.5717788 44.6498892, -63.5718133 44.6498948, -63.5718429 44.6498082, -63.5718657 44.6497415, -63.5718337 44.6497053, -63.5718112 44.6496798, -63.5718186 44.6496556, -63.5718038 44.649637, -63.5717771 44.6496032, -63.5717463 44.6495695, -63.5716921 44.6495599, -63.5716589 44.6495536, -63.5715869 44.6495814, -63.5715756 44.6495689, -63.5715326 44.6495848, -63.5715136 44.6495918, -63.5714675 44.6496109, -63.5714571 44.6496386, -63.5714412 44.6496809))",OpenStreetMap
694a1cfb-8e03-4332-85f4-010723587898,The Law Courts,16.30159568786621,"POLYGON ((-63.5725842 44.6498908, -63.5722718 44.6495126, -63.5721795 44.6495512, -63.5719121 44.649663, -63.5722247 44.6500412, -63.5725842 44.6498908))",OpenStreetMap
c3dca351-766f-4658-9a80-94fe1adfb856,Old Red Store,19.486682891845703,"POLYGON ((-63.5730902 44.6504648, -63.5730143 44.6503727, -63.5725686 44.6505589, -63.5726464 44.6506498, -63.5730902 44.6504648))",OpenStreetMap
79a6ce8e-5bb6-47f1-a0d0-5981020d6f3e,Privateer’s Warehouse,,"POLYGON ((-63.5733025 44.6505446, -63.5732228 44.6504509, -63.572924 44.6505811, -63.5729265 44.6505842, -63.5730221 44.6507019, -63.5731074 44.6506677, -63.5730869 44.650641, -63.5732236 44.6505799, -63.5733025 44.6505446))",OpenStreetMap
c1e605eb-7be4-4fc7-8c07-803206621948,Marriott Harbourfront,,"POLYGON ((-63.5738843 44.6513662, -63.5738382 44.6513331, -63.5738529 44.6513242, -63.5742801 44.651064, -63.5739182 44.6507685, -63.5738733 44.6507319, -63.5738489 44.6507119, -63.5736957 44.6505869, -63.5732598 44.6508592, -63.5732142 44.6508222, -63.5727834 44.6510803, -63.5729431 44.6512107, -63.5728871 44.6512455, -63.5730055 44.6513422, -63.5729076 44.6514029, -63.5729554 44.6514419, -63.5731843 44.6516288, -63.5732522 44.6515868, -63.5733695 44.6516825, -63.5738843 44.6513662))",OpenStreetMap
ac260d89-ee84-453d-bb33-2d37f349b78e,,,"POLYGON ((-63.5739182 44.6507685, -63.5740319 44.6506996, -63.5739628 44.6506414, -63.5738489 44.6507119, -63.5739182 44.6507685))",OpenStreetMap
90c91e81-69a8-4926-9ba0-080a6290a166,,,"POLYGON ((-63.5744627 44.6501978, -63.5744327 44.6501393, -63.5742834 44.6501781, -63.5743628 44.6502238, -63.5744627 44.6501978))",OpenStreetMap
cfaf785e-8ac1-4cb2-adf6-af407081c93c,,,"POLYGON ((-63.5747879 44.6502987, -63.5747319 44.6501934, -63.5745376 44.6502458, -63.5745937 44.6503511, -63.5747879 44.6502987))",OpenStreetMap
